,standard regression coefficient
MolWt,-45.420648641647695
HeavyAtomMolWt,37.943905104831195
ExactMolWt,4.6393200671684935
NumValenceElectrons,16.069867399506524
MaxPartialCharge,0.9182592409629322
MinPartialCharge,-1.0747924743278494
MaxAbsPartialCharge,-0.9323755323585186
MinAbsPartialCharge,-0.848397958229981
MaxEStateIndex,0.024903682753500966
MinEStateIndex,0.039973511856566724
MaxAbsEStateIndex,0.024903682749470413
MinAbsEStateIndex,0.04428861631785175
BalabanJ,0.02153280453189943
BertzCT,0.3538325990133071
Chi0,-5.047933271908265
Chi0n,0.8789416412819779
Chi0v,-2.0908102639313624
Chi1,-1.1839344371349845
Chi1n,-2.4956032109678508
Chi1v,0.411086333943226
Chi2n,-0.4368587535085622
Chi2v,0.16871269588257132
Chi3n,0.20002625681076225
Chi3v,-0.04029667528464831
Chi4n,-0.06459504798849336
Chi4v,0.15469427544611225
HallKierAlpha,-0.19327027285982679
Ipc,-0.03301908820201671
Kappa1,1.3887202618231864
Kappa2,-0.2984840515634617
Kappa3,-0.019289074907689496
LabuteASA,6.939971500527102
PEOE_VSA1,0.13373546100805767
PEOE_VSA10,0.04272412470365161
PEOE_VSA14,-0.050010933353920706
PEOE_VSA2,0.10905807093776154
PEOE_VSA3,0.03788948723392038
PEOE_VSA6,0.14349949535367612
PEOE_VSA7,0.1615800928236868
PEOE_VSA8,0.10504500254417293
PEOE_VSA9,0.08555333135339982
SMR_VSA1,-0.3892511880552725
SMR_VSA10,-0.6435747535658563
SMR_VSA3,-0.04619993593985683
SMR_VSA4,-0.19736598401684002
SMR_VSA5,-0.1784712549437013
SMR_VSA6,-0.11458331397068378
SMR_VSA7,-0.5718052799157674
SMR_VSA9,-0.186995541762082
SlogP_VSA1,0.22331747419186065
SlogP_VSA10,-0.0648471823175314
SlogP_VSA12,-0.619674769191592
SlogP_VSA2,0.2290253088907619
SlogP_VSA3,0.12382721841632116
SlogP_VSA4,0.12203638035249131
SlogP_VSA5,-0.013921148473162226
SlogP_VSA6,0.2217522251284425
TPSA,-0.44689899520118903
EState_VSA1,0.7761414627832098
EState_VSA10,0.4088425921077862
EState_VSA2,0.6161180194272244
EState_VSA3,0.5229123690980684
EState_VSA4,0.6207932079127281
EState_VSA5,0.6741274996026743
EState_VSA6,0.5734019556043091
EState_VSA7,0.737854729737295
EState_VSA8,0.7918453838370612
EState_VSA9,0.7432286582899048
VSA_EState10,-0.4594103091489794
VSA_EState9,-0.13773865690085252
FractionCSP3,0.020085108969080778
HeavyAtomCount,-12.846083399453548
NHOHCount,0.25785521281029977
NOCount,0.9065266360832576
NumAliphaticRings,-0.012247412696457793
NumAromaticCarbocycles,-0.056913709869407025
NumAromaticRings,0.09269218036848859
NumHAcceptors,0.06623910432297331
NumHDonors,0.12355689932535352
NumHeteroatoms,-2.5868564083096146
NumRotatableBonds,-0.044586106118006175
RingCount,0.05802269091138079
MolLogP,0.06850520405828142
MolMR,-0.14632280409781906
fr_C_O,0.24919944326792942
fr_C_O_noCOO,-0.022642089038305002
fr_NH0,0.39675822843143616
fr_benzene,-0.056913709872279394
fr_bicyclic,0.0027652943920415396
fr_ether,0.0016702700795319103
fr_halogen,-0.07570916118646887
